Aceri-Tilietum
Acoretum calami
Adenostylo alliariae-Athyrietum distentifolii
Adenostylo alliariae-Pinetum mugo
Agropyro cristati-Kochietum prostratae
Agrostio caninae-Caricetum diandrae
Agrostio stoloniferae-Juncetum ranarii
Airetum praecocis
Alchemillo hybridae-Poëtum supinae
Alismatetum lanceolati
Alliario petiolatae-Chaerophylletum temuli
Alnetum incanae
Alopecuro-Alismatetum plantaginis-aquaticae
Alysso alyssoidis-Sedetum
Andromedo polifoliae-Sphagnetum magellanici
Angelico sylvestris-Cirsietum oleracei
Angelico sylvestris-Cirsietum palustris
Anthoxantho odorati-Agrostietum tenuis
Anthriscetum trichospermae
Anthrisco nitidae-Aegopodietum podagrariae
Aphano arvensis-Matricarietum chamomillae
Arctietum lappae
Arrhenathero elatioris-Robinietum pseudoacaciae
Artemisio vulgaris-Echinopsietum sphaerocephali
Arunco dioici-Aceretum pseudoplatani
Arunco vulgaris-Lunarietum redivivae
Asclepiadetum syriacae
Asplenietum cuneifolii
Asplenietum rutae-murario-trichomanis
Asplenio cuneifolii-Pinetum sylvestris
Asplenio cuneifolii-Seslerietum caeruleae
Asplenio trichomanis-Polypodietum vulgaris
Asteretum lanceolati
Astero pannonici-Bolboschoenetum compacti
Astragalo exscapi-Crambetum tatariae
Athyrio distentifolii-Fagetum sylvaticae
Athyrio distentifolii-Piceetum abietis
Atriplicetum nitentis
Atriplicetum roseae
Avenello flexuosae-Callunetum vulgaris
Avenulo pratensis-Festucetum valesiacae
Bartsio alpinae-Caricetum nigrae
Batrachietum rionii
Batrachio circinati-Alismatetum graminei
Berteroetum incanae
Beruletum erectae
Bidentetum cernuae
Bidentetum tripartitae
Bidenti frondosae-Atriplicetum prostratae
Bolboschoenetum yagarae
Brachypodio pinnati-Molinietum arundinaceae
Brachythecio rivularis-Cratoneuretum
Bromo tectorum-Corispermetum leptopteri
Buniadetum orientalis
Bupleuro longifoliae-Calamagrostietum arundinaceae
Butometum umbellati
Calamagrostio arundinaceae-Vaccinietum myrtilli
Calamagrostio villosae-Fagetum sylvaticae
Calamagrostio villosae-Piceetum abietis
Calletum palustris
Calliergo sarmentosi-Eriophoretum angustifolii
Callitrichetum hermaphroditicae
Callitricho hamulatae-Ranunculetum fluitantis
Calystegio sepium-Epilobietum hirsuti
Calystegio sepium-Impatientetum glanduliferae
Campanulo rotundifoliae-Dianthetum deltoidis
Campylio stellati-Caricetum lasiocarpae
Campylio stellati-Trichophoretum alpini
Cardaminetum opicii
Cardamino-Chrysosplenietum alternifolii
Cardarietum drabae
Carduo acanthoidis-Onopordetum acanthii
Caricetum acutiformi-paniculatae
Caricetum acutiformis
Caricetum appropinquatae
Caricetum buekii
Caricetum cespitosae
Caricetum diandrae
Caricetum distichae
Caricetum elatae
Caricetum gracilis
Caricetum nigrae
Caricetum remotae
Caricetum ripariae
Caricetum vesicariae
Caricetum vulpinae
Carici acutiformis-Alnetum glutinosae
Carici bigelowii-Nardetum strictae
Carici echinatae-Sphagnetum
Carici elatae-Calamagrostietum canescentis
Carici elongatae-Alnetum glutinosae
Carici flavae-Cratoneuretum filicini
Carici fritschii-Quercetum roboris
Carici humilis-Seslerietum caeruleae
Carici pendulae-Eupatorietum cannabini
Carici pilosae-Carpinetum betuli
Carici pilosae-Fagetum sylvaticae
Carici remotae-Fraxinetum excelsioris
Carici rostratae-Drepanocladetum fluitantis
Carlino acaulis-Brometum erecti
Carpino betuli-Prunetum spinosae
Caucalido platycarpi-Conringietum orientalis
Centunculo minimi-Anthoceretum punctati
Cephalanthero damasonii-Fagetum sylvaticae
Cerastietum
Cerastio dubii-Ranunculetum sardoi
Ceratophylletum demersi
Ceratophyllo-Azolletum filiculoidis
Cetrario-Festucetum supinae
Cicuto virosae-Caricetum pseudocyperi
Cirsietum rivularis
Cirsio pannonici-Seslerietum caeruleae
Cladietum marisci
Cladino-Pinetum sylvestris
Cnidio dubii-Deschampsietum cespitosae
Comaro palustris-Caricetum cespitosae
Convolvulo arvensis-Brometum inermis
